species;BMI;WSI
pikkulokki;0.1849112426035503;2.519230769230769
naurulokki;0.21219135802469136;2.5694444444444446
kalalokki;0.2409297052154195;2.4642857142857144
selkälokki;0.23915816326530612;2.2410714285714284
harmaalokki;0.2916666666666667;2.2583333333333333
merilokki;0.3471533425907558;2.183098591549296
räyskä;0.3058523674149593;2.0495049504950495
kalatiira;0.08053911900065747;1.9230769230769231
lapintiira;0.08979591836734693;2.0428571428571427
pikkutiira;0.09876543209876543;1.9555555555555555
suokukko;0.16916570549788543;1.8627450980392157
taivaanvuohi;0.14792899408284024;1.6153846153846154
lehtokurppa;0.24897959183673468;1.7142857142857142
pikkukuovi;0.21713265913146937;2.024390243902439
isokuovi;0.25396825396825395;1.8571428571428572
punajalkaviklo;0.14030612244897958;1.7857142857142858
valkoviklo;0.17822265625;1.828125
metsäviklo;0.1580246913580247;1.8444444444444446
liro;0.12396694214876033;1.6818181818181819
rantasipi;0.125;1.675
vesipääsky;0.09375;1.6
pikkutylli;0.16649323621227888;2.161290322580645
tylli;0.16800584368151936;2.054054054054054
kapustarinta;0.2423469387755102;2.0
keräkurmitsa;0.23243801652892562;2.75
töyhtöhyyppä;0.1953125;2.171875
haapana;0.33081285444234404;1.641304347826087
tavi;0.2700617283950617;1.5555555555555556
sinisorsa;0.36363636363636365;1.509090909090909
heinätavi;0.2794214332675871;1.6153846153846154
lapasorsa;0.2604166666666667;1.6145833333333333
ristisorsa;0.2944;1.76
harmaasorsa;0.3075740099961553;1.6666666666666667
mustalintu;0.32278217409412746;1.5816326530612246
tukkasotka;0.36992997753996565;1.5747126436781609
punasotka;0.4202391015577829;1.5604395604395604
haahka;0.4378698224852071;1.5384615384615385
telkkä;0.23268698060941828;1.4631578947368422
tukkakoskelo;0.3140495867768595;1.3727272727272728
isokoskelo;0.378698224852071;1.323076923076923
metsähanhi;0.5777777777777777;2.0933333333333333
merihanhi;0.44077134986225897;1.9212121212121211
kanadanhanhi;0.4709141274238227;1.8157894736842106
valkoposkihanhi;0.42724609375;2.046875
laulujoutsen;0.38699274388605215;1.4426229508196722
kyhmyjoutsen;0.47299113141628596;1.4426229508196722
kurki;0.3780718336483932;1.7608695652173914
luhtakana;0.19600591715976332;1.5961538461538463
ruisrääkkä;0.2092951677439212;1.6666666666666667
liejukana;0.28546712802768165;1.5441176470588236
nokikana;0.547845142439737;2.027027027027027
luhtahuitti;0.22675736961451248;1.880952380952381
merimetso;0.32132963988919666;1.4210526315789473
silkkiuikku;0.36281179138321995;1.2571428571428571
härkälintu;0.3950617283950617;1.8
mustakurkku-uikku;0.4704893929846671;1.463768115942029
pikku-uikku;0.2588757396449704;1.6346153846153846
kaakkuri;0.44342918570276807;1.6475409836065573
kuikka;0.5827166249053085;1.6946564885496183
meriharakka;0.261286108288576;1.8674698795180722
kaulushaikara;0.24;1.5333333333333334
harmaahaikara;0.11523545706371191;1.736842105263158
kattohaikara;0.28123309897241755;1.8372093023255813
jalohaikara;0.12856099342585828;1.7027027027027026
